"Date";"ProductName";"StockEOD";"DeliveryFromProduction";"Rejection";"StartupLoss";"Obsoletes";"InBackorder"
"2018-09-25";"Fressie Orange 1 liter";2437;0;0;0;0;0
"2018-09-25";"Fressie Orange/Mango 1 liter";11628;0;0;0;0;0
"2018-09-25";"Fressie Orange/C-power PET";51858;0;0;0;0;0
"2018-09-25";"Fressie Orange PET";720862;0;0;0;0;0
"2018-09-25";"Fressie Orange/Mango PET";54628;0;0;0;0;0
"2018-09-25";"Fressie Orange/Mango+C 1L";157495;0;0;0;0;0
"2018-09-26";"Fressie Orange 1 liter";0;0;0;0;0;0
"2018-09-26";"Fressie Orange/Mango 1 liter";11628;0;0;0;0;0
"2018-09-26";"Fressie Orange/C-power PET";51858;0;0;0;0;0
"2018-09-26";"Fressie Orange PET";663262;0;0;0;0;0
"2018-09-26";"Fressie Orange/Mango PET";45988;0;0;0;0;0
"2018-09-26";"Fressie Orange/Mango+C 1L";139495;0;0;0;0;0
"2018-09-27";"Fressie Orange 1 liter";0;0;0;0;0;42563
"2018-09-27";"Fressie Orange/Mango 1 liter";11628;0;0;0;0;0
"2018-09-27";"Fressie Orange/C-power PET";51858;0;0;0;0;0
"2018-09-27";"Fressie Orange PET";614302;0;0;0;0;0
"2018-09-27";"Fressie Orange/Mango PET";142492;97437;0;933;0;0
"2018-09-27";"Fressie Orange/Mango+C 1L";139495;0;0;0;0;0
"2018-09-28";"Fressie Orange 1L";0;0;0;0;0;42563
"2018-09-28";"Fressie Orange/Mango 1L";11628;0;0;0;0;0
"2018-09-28";"Fressie Orange/C-power PET";43218;0;0;0;0;0
"2018-09-28";"Fressie Orange PET";614302;0;0;0;0;0
"2018-09-28";"Fressie Orange/Mango PET";142492;0;0;0;0;0
"2018-09-28";"Fressie Orange/Mango+C 1L";139495;0;0;0;0;0
"2018-10-01";"Fressie Orange 1 liter";0;0;0;0;0;126563
"2018-10-01";"Fressie Orange/Mango 1 liter";6228;0;0;0;0;0
"2018-10-01";"Fressie Orange/C-power PET";43218;0;0;0;0;0
"2018-10-01";"Fressie Orange PET";588382;0;0;0;0;0
"2018-10-01";"Fressie Orange/Mango PET";142492;0;0;0;0;0
"2018-10-01";"Fressie Orange/Mango+C 1L";198301;117286;0;280;0;0
"2018-10-02";"Fressie Orange 1 liter";0;0;0;0;0;126563
"2018-10-02";"Fressie Orange/Mango 1 liter";6228;0;0;0;0;0
"2018-10-02";"Fressie Orange/C-power PET";43218;0;0;0;0;0
"2018-10-02";"Fressie Orange PET";536542;0;0;0;0;0
"2018-10-02";"Fressie Orange/Mango PET";133852;0;0;0;0;0
"2018-10-02";"Fressie Orange/Mango+C 1L";198301;0;0;0;0;0
"2018-10-03";"Fressie Orange 1 liter";560053;745696;0;280;0;126563
"2018-10-03";"Fressie Orange/Mango 1 liter";0;0;0;0;0;0
"2018-10-03";"Fressie Orange/C-power PET";43218;0;0;0;0;0
"2018-10-03";"Fressie Orange PET";536542;0;0;0;0;0
"2018-10-03";"Fressie Orange/Mango PET";133852;0;0;0;0;0
"2018-10-03";"Fressie Orange/Mango+C 1L";198301;0;0;0;0;0
"2018-10-04";"Fressie Orange 1 liter";519253;0;0;0;0;0
"2018-10-04";"Fressie Orange/Mango 1 liter";0;0;0;0;0;372
"2018-10-04";"Fressie Orange/C-power PET";43218;0;0;0;0;0
"2018-10-04";"Fressie Orange PET";519262;0;0;0;0;0
